Variable ,Description ,,
RECORD ,Index number of the record ,,
ECG_signal ,Category of heart ailment ,,
hbpermin ,Heart rate (beats per minute) ,,
Pseg ,P wave segment length (ms) ,,
PQseg ,PQ segment length (ms) ,,
QRSseg ,QRS complex length (ms) ,,
QRseg ,QR segment length (ms) ,,
QTseg ,QT segment length (ms) ,,
RSseg ,RS segment length (ms) ,,
STseg ,ST segment length (ms) ,,
Tseg ,T wave segment length (ms) ,,
PTseg ,PT segment length (ms) ,,
ECGseg ,Entire ECG signal duration (P-on to T-off) ,,
QRtoQSdur ,Duration from QR to QS (ms) ,,
RStoQSdur ,Duration from RS to QS (ms) ,,
RRmean ,Mean duration between R peaks ,,
PPmean ,Mean duration between P peaks ,,
PQdis ,Distance between P and Q points ,,
PonQdis ,Distance between P-on and Q points ,,
PRdis ,Distance between P and R points ,,
PonRdis ,Distance between P-on and R points ,,
PSdis ,Distance between P and S points ,,
PonSdis ,Distance between P-on and S points ,,
PTdis ,Distance between P and T points ,,
PonTdis ,Distance between P-on and T points ,,
PToffdis ,Distance between P and T-off points ,,
QRdis ,Distance between Q and R points ,,
QSdis ,Distance between Q and S points ,,
QTdis ,Distance between Q and T points ,,
QToffdis ,Distance between Q and T-off points ,,
RSdis ,Distance between R and S points ,,
RTdis ,Distance between R and T points ,,
RToffdis ,Distance between R and T-off points ,,
STdis ,Distance between S and T points ,,
SToffdis ,Distance between S and T-off points ,,
PonToffdis ,Distance between P-on and T-off points ,,
PonPQang ,"Angle at P-on, P, Q points ",,
PQRang ,"Angle at P, Q, R curve ",,
QRSang ,"Angle at Q, R, S curve ",,
RSTang ,"Angle at R, S, T points ",,
STToffang ,"Angle at S, T, T-off ",,
PQslope ,Slope of the PQ line ,,
QRslope ,Slope of the QR line ,,
RSslope ,Slope of the RS line ,,
STslope ,Slope of the ST line ,,
QRSarea ,Area of the QRS complex (2D formula) ,,
QRSperi ,"Perimeter of QRS (Sum of QR, RS, and QS distances) ",,
RRTot ,Total number of R peaks in the segment ,,
NNTot ,Total number of Inter-Beat Intervals (IBI) ,,
SDRR ,Standard deviation of RR intervals ,,
IBIM ,Mean of Inter-Beat Intervals (IBI) ,,
IBISD ,Standard deviation of IBI ,,
SDSD ,Standard deviation of differences between adjacent IBIs ,,
RMSSD ,Root mean square of differences between adjacent IBIs ,,
NN50 ,Count of adjacent RR pairs differing by >50ms ,,
pNN50 ,Percentage of adjacent RR pairs differing by >50ms ,,
